UnitKey,month,uProd,pProd,pRate,Status,UnitTerminationDate
24,278,423831,7221,0.02 ,1,NULL
27,278,160224,8154,0.05 ,1,NULL
29,278,228416,10121,0.04 ,1,NULL
38,274,250780,6857,0.03 ,1,NULL
39,274,66828,10812,0.16 ,1,NULL
53,272,261922,16991,0.06 ,1,NULL
116,268,203633,6636,0.03 ,1,NULL
129,267,24698,6875,0.28 ,1,NULL
131,267,80300,13510,0.17 ,1,NULL
137,267,102937,17752,0.17 ,1,NULL
149,267,220885,7698,0.03 ,1,NULL
153,267,315887,7712,0.02 ,1,NULL
185,264,94962,26206,0.28 ,1,NULL
207,263,162840,7910,0.05 ,1,NULL
208,262,111096,6811,0.06 ,1,NULL
220,262,302576,6753,0.02 ,1,NULL
222,262,63196,2439,0.04 ,1,NULL
232,261,171682,8179,0.05 ,1,NULL
247,260,335571,6723,0.02 ,1,NULL
252,259,486900,6914,0.01 ,1,NULL
267,258,195196,7177,0.04 ,1,NULL
277,258,104668,9000,0.09 ,1,NULL
293,256,109559,11593,0.11 ,1,NULL
301,256,330272,20438,0.06 ,1,NULL
303,256,319701,7028,0.02 ,1,NULL
305,256,170337,24777,0.15 ,1,NULL
308,256,692348,7367,0.01 ,1,NULL
314,255,994604,21296,0.02 ,1,NULL
328,255,182809,11304,0.06 ,1,NULL
332,255,470146,7173,0.02 ,1,NULL
339,254,57254,2302,0.04 ,1,NULL
345,254,63258,12094,0.19 ,1,NULL
348,253,208081,11332,0.05 ,1,NULL
349,253,277972,4930,0.02 ,1,NULL
352,253,53848,6957,0.13 ,1,NULL
361,252,239372,6928,0.03 ,1,NULL
374,250,211005,16553,0.08 ,1,NULL
376,249,54257,5071,0.09 ,1,NULL
379,249,88098,11307,0.13 ,1,NULL
390,244,55084,4905,0.09 ,1,NULL
391,243,236040,6837,0.03 ,1,NULL
395,242,377966,13748,0.04 ,1,NULL
398,241,69927,7617,0.11 ,1,NULL
403,240,64497,7282,0.11 ,1,NULL
405,240,340934,12102,0.04 ,1,NULL
406,240,82353,22837,0.28 ,1,NULL
407,240,217243,31200,0.14 ,1,NULL
408,240,92991,6721,0.07 ,1,NULL
414,239,261539,8315,0.03 ,1,NULL
415,239,61011,9055,0.15 ,1,NULL
418,239,28652,4596,0.16 ,1,NULL
420,238,96045,7813,0.08 ,1,NULL
422,238,115989,7097,0.06 ,1,NULL
424,238,76999,14557,0.19 ,1,NULL
425,237,251373,10593,0.04 ,1,NULL
430,237,221710,7369,0.03 ,1,NULL
437,237,94813,10190,0.11 ,1,NULL
438,237,70587,10010,0.14 ,1,NULL
439,237,89316,14347,0.16 ,1,NULL
446,236,36926,4379,0.12 ,1,NULL
454,236,93677,10651,0.11 ,1,NULL
455,235,89269,6938,0.08 ,1,NULL
459,235,312201,11016,0.04 ,1,NULL
471,235,114709,12777,0.11 ,1,NULL
472,235,144524,9382,0.06 ,1,NULL
482,234,249304,10772,0.04 ,1,NULL
485,234,292764,6695,0.02 ,1,NULL
487,234,63381,2444,0.04 ,1,NULL
489,234,249090,9938,0.04 ,1,NULL
495,234,102462,7084,0.07 ,1,NULL
498,233,161736,7566,0.05 ,1,NULL
499,233,131015,12362,0.09 ,1,NULL
500,233,133694,20859,0.16 ,1,NULL
502,233,120968,6757,0.06 ,1,NULL
507,233,346262,7531,0.02 ,1,NULL
517,233,92054,12249,0.13 ,1,NULL
522,232,500494,16775,0.03 ,1,NULL
523,232,111210,15471,0.14 ,1,NULL
525,232,97741,10810,0.11 ,1,NULL
526,232,62718,7469,0.12 ,1,NULL
528,232,129529,7539,0.06 ,1,NULL
534,232,168344,8401,0.05 ,1,NULL
541,232,97207,7106,0.07 ,1,NULL
554,231,143758,9309,0.06 ,1,NULL
556,231,88018,17649,0.20 ,1,NULL
561,231,311589,8230,0.03 ,1,NULL
